artist,genres
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj","['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Hideki Naganuma,['japanese vgm']
James Bay,"['modern rock', 'neo mellow', 'pop', 'pop rock']"
Novo Amor,"['ambient folk', 'indie folk', 'pop']"
Los Tigres Del Norte,"['musica mexicana', 'norteno']"
Kodak Black Featuring Lil Wayne,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']"
Rihanna,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']"
Flavien Berger,"['electronica', 'french indie pop', 'french indietronica', 'french synthpop']"
Aurelio Voltaire,"['comic', 'dark cabaret', 'otacore', 'steampunk']"
Bill Monroe & His Blue Grass Boys,"['appalachian folk', 'bluegrass', 'bluegrass gospel', 'old-time', 'traditional country', 'traditional folk', 'yodeling']"
The JaneDear Girls,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']"
Zach Sobiech,[]
Holger Czukay,"['art rock', 'experimental', 'experimental rock', 'krautrock', 'rock keyboard']"
Lauren Alaina,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'modern country rock']"
The Black Keys,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']"
School Of Seven Bells,"['chillwave', 'dream pop', 'metropopolis', 'modern dream pop', 'nu gaze', 'shoegaze']"
The New Black,['german hard rock']
Sturgill Simpson,"['alternative americana', 'kentucky roots', 'nashville singer-songwriter', 'new americana', 'outlaw country']"
Culture Code,"['filthstep', 'gaming edm', 'melodic dubstep', 'pop edm']"
My Chemical Romance,"['emo', 'modern rock', 'pop punk', 'rock']"
Claustrofobia,"['brazilian death metal', 'brazilian hardcore', 'brazilian metal', 'brazilian post-hardcore', 'brazilian rock', 'brazilian thrash metal']"
Lloyd Banks Featuring Juelz Santana,"['gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'queens hip hop', 'rap', 'trap']"
Casanovas,"['dansband', 'danspunk']"
Flughand,"['chillhop', 'lo-fi beats']"
Joby Talbot,"['21st century classical', 'british contemporary classical', 'soundtrack']"
Kasabian,"['alternative rock', 'britpop', 'garage rock', 'leicester indie', 'modern rock', 'rock']"
Michael Jackson & Justin Timberlake,"['pop', 'r&b', 'soul']"
Illingsworth,['abstract beats']
Yma Sumac,"['exotica', 'lounge', 'space age pop']"
The Jesus and Mary Chain,"['alternative rock', 'art rock', 'new wave', 'noise pop', 'post-punk', 'punk', 'rock', 'scottish indie', 'shoegaze', 'uk post-punk']"
Arve Henriksen,"['contemporary jazz', 'ecm-style jazz', 'fourth world', 'jazz trumpet', 'norwegian contemporary jazz', 'norwegian jazz']"
